date,county,positive_patients,suspected_positive_patients,positive_icu,suspected_positive_icu
2020-03-31,Alameda,56,94,27,17
2020-03-31,Alpine,0,0,0,0
2020-03-31,Amador,0,0,0,0
2020-03-31,Butte,4,20,2,3
2020-03-31,Calaveras,0,1,0,0
2020-03-31,Colusa,0,1,0,1
2020-03-31,Contra Costa,27,54,11,10
2020-03-31,Del Norte,0,4,0,0
2020-03-31,El Dorado,10,9,4,6
2020-03-31,Fresno,30,274,0,19
2020-03-31,Glenn,0,0,0,0
2020-03-31,Humboldt,1,11,0,4
2020-03-31,Imperial,12,100,3,4
2020-03-31,Inyo,0,83,0,0
2020-03-31,Kern,14,63,6,6
2020-03-31,Kings,1,3,1,2
2020-03-31,Lake,0,4,0,2
2020-03-31,Lassen,0,7,0,0
2020-03-31,Los Angeles,713,1239,315,239
2020-03-31,Madera,1,3,1,0
2020-03-31,Marin,9,14,4,2
2020-03-31,Mariposa,0,0,0,0
2020-03-31,Mendocino,0,1,0,0
2020-03-31,Merced,3,11,0,2
2020-03-31,Modoc,0,19,0,0
2020-03-31,Mono,0,1,0,0
2020-03-31,Monterey,11,15,4,2
2020-03-31,Napa,1,5,1,1
2020-03-31,Nevada,36,40,2,1
2020-03-31,Orange,105,233,45,44
2020-03-31,Placer,18,27,6,0
2020-03-31,Plumas,0,0,0,0
2020-03-31,Riverside,80,155,28,59
2020-03-31,Sacramento,53,110,20,31
2020-03-31,San Benito,1,0,1,0
2020-03-31,San Bernardino,82,231,33,48
2020-03-31,San Diego,158,408,75,39
2020-03-31,San Francisco,67,69,30,14
2020-03-31,San Joaquin,44,54,14,5
2020-03-31,San Luis Obispo,7,15,3,6
2020-03-31,San Mateo,60,23,18,5
2020-03-31,Santa Barbara,19,29,14,7
2020-03-31,Santa Clara,155,98,73,17
2020-03-31,Santa Cruz,1,10,1,2
2020-03-31,Shasta,1,5,1,0
2020-03-31,Sierra,0,0,0,0
2020-03-31,Siskiyou,0,0,0,0
2020-03-31,Solano,15,15,6,5
2020-03-31,Sonoma,8,18,3,3
2020-03-31,Stanislaus,20,31,9,1
2020-03-31,Sutter,0,0,0,0
2020-03-31,Tehama,0,2,0,0
2020-03-31,Trinity,0,0,0,0
2020-03-31,Tulare,6,14,4,5
2020-03-31,Tuolumne,0,37,0,0
2020-03-31,Ventura,21,90,5,24
2020-03-31,Yolo,3,2,2,2
2020-03-31,Yuba,2,21,2,4
2020-04-01,Alameda,52,76,27,15
2020-04-01,Alpine,0,0,0,0
2020-04-01,Amador,0,3,0,0
2020-04-01,Butte,5,33,2,4
2020-04-01,Calaveras,0,1,0,0
2020-04-01,Colusa,0,1,0,1
2020-04-01,Contra Costa,31,42,12,12
2020-04-01,Del Norte,0,5,0,0
2020-04-01,El Dorado,14,8,1,3
2020-04-01,Fresno,19,101,5,13
2020-04-01,Glenn,0,0,0,0
2020-04-01,Humboldt,1,9,0,3
2020-04-01,Imperial,4,15,3,4
2020-04-01,Inyo,7,89,0,0
2020-04-01,Kern,15,45,7,9
2020-04-01,Kings,2,6,1,2
2020-04-01,Lake,0,2,0,0
2020-04-01,Lassen,0,7,0,0
2020-04-01,Los Angeles,739,1332,335,220
2020-04-01,Madera,1,3,1,0
2020-04-01,Marin,9,19,4,2
2020-04-01,Mariposa,0,0,0,0
2020-04-01,Mendocino,0,2,0,0
2020-04-01,Merced,3,15,0,3
2020-04-01,Modoc,0,1,0,0
2020-04-01,Mono,0,0,0,0
2020-04-01,Monterey,13,16,4,4
2020-04-01,Napa,2,2,0,1
2020-04-01,Nevada,36,54,0,4
2020-04-01,Orange,117,221,50,48
2020-04-01,Placer,25,28,6,2
2020-04-01,Plumas,0,0,0,0
2020-04-01,Riverside,85,182,29,47
2020-04-01,Sacramento,53,138,20,33
2020-04-01,San Benito,2,0,2,0
2020-04-01,San Bernardino,95,196,39,52
2020-04-01,San Diego,168,340,71,32
2020-04-01,San Francisco,67,66,30,8
2020-04-01,San Joaquin,25,35,16,11
2020-04-01,San Luis Obispo,8,10,5,6
2020-04-01,San Mateo,57,35,19,9
2020-04-01,Santa Barbara,23,23,15,6
2020-04-01,Santa Clara,160,85,77,15
2020-04-01,Santa Cruz,2,12,2,2
2020-04-01,Shasta,1,4,0,1
2020-04-01,Sierra,0,0,0,0
2020-04-01,Siskiyou,0,5,0,2
2020-04-01,Solano,14,18,5,2
2020-04-01,Sonoma,5,18,1,2
2020-04-01,Stanislaus,25,39,10,6
2020-04-01,Sutter,0,0,0,0
2020-04-01,Tehama,0,1,0,1
2020-04-01,Trinity,0,0,0,0
2020-04-01,Tulare,4,12,3,4
2020-04-01,Tuolumne,0,0,0,0
2020-04-01,Ventura,22,96,5,23
2020-04-01,Yolo,3,3,1,1
2020-04-01,Yuba,2,24,2,4
2020-04-02,Alameda,57,76,29,17
2020-04-02,Alpine,0,0,0,0
2020-04-02,Amador,0,3,0,0
2020-04-02,Butte,4,26,2,2
2020-04-02,Calaveras,0,1,0,0
2020-04-02,Colusa,0,1,0,0
2020-04-02,Contra Costa,32,38,13,10
2020-04-02,Del Norte,0,3,0,0
2020-04-02,El Dorado,15,12,0,6
2020-04-02,Fresno,17,74,6,13
2020-04-02,Glenn,0,0,0,0
2020-04-02,Humboldt,1,8,0,2
2020-04-02,Imperial,4,16,3,5
2020-04-02,Inyo,8,102,0,1
2020-04-02,Kern,27,77,12,23
2020-04-02,Kings,2,6,1,1
2020-04-02,Lake,0,1,0,0
2020-04-02,Lassen,0,7,0,0
2020-04-02,Los Angeles,818,1270,346,193
2020-04-02,Madera,1,7,1,3
2020-04-02,Marin,7,16,3,1
2020-04-02,Mariposa,0,1,0,0
2020-04-02,Mendocino,0,1,0,0
2020-04-02,Merced,4,5,0,1
2020-04-02,Modoc,0,1,0,0
2020-04-02,Mono,18,2,0,0
2020-04-02,Monterey,14,14,4,2
2020-04-02,Napa,1,4,1,1
2020-04-02,Nevada,38,58,2,1
2020-04-02,Orange,129,225,67,47
2020-04-02,Placer,32,15,9,0
2020-04-02,Plumas,0,0,0,0
2020-04-02,Riverside,136,181,45,49
2020-04-02,Sacramento,71,92,24,19
2020-04-02,San Benito,2,0,2,0
2020-04-02,San Bernardino,126,185,50,45
2020-04-02,San Diego,144,343,69,35
2020-04-02,San Francisco,75,60,32,11
2020-04-02,San Joaquin,42,42,20,7
2020-04-02,San Luis Obispo,5,5,4,4
2020-04-02,San Mateo,62,40,26,4
2020-04-02,Santa Barbara,26,44,18,10
2020-04-02,Santa Clara,161,101,69,19
2020-04-02,Santa Cruz,4,4,3,0
2020-04-02,Shasta,2,4,1,0
2020-04-02,Sierra,0,0,0,0
2020-04-02,Siskiyou,0,3,0,2
2020-04-02,Solano,15,8,7,1
2020-04-02,Sonoma,8,18,1,0
2020-04-02,Stanislaus,30,43,11,7
2020-04-02,Sutter,0,0,0,0
2020-04-02,Tehama,0,1,0,1
2020-04-02,Trinity,0,0,0,0
2020-04-02,Tulare,4,26,4,5
2020-04-02,Tuolumne,0,0,0,0
2020-04-02,Ventura,27,111,7,24
2020-04-02,Yolo,3,2,2,3
2020-04-02,Yuba,2,25,2,6
2020-04-03,Alameda,64,74,32,13
2020-04-03,Alpine,0,0,0,0
2020-04-03,Amador,0,0,0,0
2020-04-03,Butte,3,19,2,6
2020-04-03,Calaveras,0,1,0,0
2020-04-03,Colusa,1,0,1,0
2020-04-03,Contra Costa,31,39,15,10
2020-04-03,Del Norte,0,2,0,0
2020-04-03,El Dorado,15,9,0,4
2020-04-03,Fresno,15,81,7,16
2020-04-03,Glenn,0,0,0,0
2020-04-03,Humboldt,1,7,0,0
2020-04-03,Imperial,9,7,7,0
2020-04-03,Inyo,8,102,1,2
2020-04-03,Kern,35,73,12,16
2020-04-03,Kings,0,3,1,0
2020-04-03,Lake,0,2,0,1
2020-04-03,Lassen,0,3,0,0
2020-04-03,Los Angeles,962,1239,422,209
2020-04-03,Madera,0,5,0,1
2020-04-03,Marin,6,16,3,5
2020-04-03,Mariposa,0,2,0,0
2020-04-03,Mendocino,0,5,0,1
2020-04-03,Merced,4,5,1,1
2020-04-03,Modoc,0,0,0,0
2020-04-03,Mono,18,2,0,0
2020-04-03,Monterey,16,18,3,1
2020-04-03,Napa,1,9,0,1
2020-04-03,Nevada,2,4,2,1
2020-04-03,Orange,131,182,66,36
2020-04-03,Placer,21,23,10,1
2020-04-03,Plumas,0,0,0,0
2020-04-03,Riverside,105,182,44,59
2020-04-03,Sacramento,77,76,28,17
2020-04-03,San Benito,2,0,2,0
2020-04-03,San Bernardino,118,204,44,53
2020-04-03,San Diego,171,308,84,28
2020-04-03,San Francisco,80,71,39,8
2020-04-03,San Joaquin,41,38,18,8
2020-04-03,San Luis Obispo,4,5,3,2
2020-04-03,San Mateo,65,39,26,4
2020-04-03,Santa Barbara,27,29,18,4
2020-04-03,Santa Clara,164,83,71,17
2020-04-03,Santa Cruz,4,8,3,0
2020-04-03,Shasta,2,9,1,3
2020-04-03,Sierra,0,0,0,0
2020-04-03,Siskiyou,0,3,0,1
2020-04-03,Solano,16,21,7,5
2020-04-03,Sonoma,6,24,2,3
2020-04-03,Stanislaus,28,0,12,8
2020-04-03,Sutter,0,0,0,0
2020-04-03,Tehama,0,0,0,0
2020-04-03,Trinity,0,0,0,0
2020-04-03,Tulare,6,15,5,2
2020-04-03,Tuolumne,0,0,0,0
2020-04-03,Ventura,22,116,6,28
2020-04-03,Yolo,2,7,3,6
2020-04-03,Yuba,2,12,2,3
2020-04-04,Alameda,60,95,35,18
2020-04-04,Alpine,0,0,0,0
2020-04-04,Amador,0,0,0,0
2020-04-04,Butte,3,14,1,4
2020-04-04,Calaveras,0,1,0,0
2020-04-04,Colusa,1,0,1,0
2020-04-04,Contra Costa,30,47,12,7
2020-04-04,Del Norte,0,2,0,0
2020-04-04,El Dorado,15,9,0,3
2020-04-04,Fresno,14,93,7,20
2020-04-04,Glenn,0,0,0,0
2020-04-04,Humboldt,1,4,0,0
2020-04-04,Imperial,9,10,5,2
2020-04-04,Inyo,8,106,1,1
2020-04-04,Kern,33,54,14,11
2020-04-04,Kings,1,9,1,0
2020-04-04,Lake,0,4,0,1
2020-04-04,Lassen,0,0,0,0
2020-04-04,Los Angeles,1007,1190,449,181
2020-04-04,Madera,0,4,0,0
2020-04-04,Marin,5,16,3,5
2020-04-04,Mariposa,0,2,0,0
2020-04-04,Mendocino,0,3,0,1
2020-04-04,Merced,5,14,1,1
2020-04-04,Modoc,0,0,0,0
2020-04-04,Mono,20,2,0,0
2020-04-04,Monterey,16,25,4,2
2020-04-04,Napa,1,8,0,1
2020-04-04,Nevada,2,6,2,2
2020-04-04,Orange,143,213,70,45
2020-04-04,Placer,23,14,10,1
2020-04-04,Plumas,0,0,0,0
2020-04-04,Riverside,126,186,39,56
2020-04-04,Sacramento,69,76,25,18
2020-04-04,San Benito,2,3,2,0
2020-04-04,San Bernardino,138,254,51,66
2020-04-04,San Diego,177,218,86,19
2020-04-04,San Francisco,80,65,37,7
2020-04-04,San Joaquin,43,30,16,7
2020-04-04,San Luis Obispo,4,6,3,3
2020-04-04,San Mateo,66,19,25,6
2020-04-04,Santa Barbara,28,34,18,2
2020-04-04,Santa Clara,159,79,72,19
2020-04-04,Santa Cruz,4,6,3,0
2020-04-04,Shasta,2,10,4,0
2020-04-04,Sierra,0,0,0,0
2020-04-04,Siskiyou,0,2,0,1
2020-04-04,Solano,16,19,7,2
2020-04-04,Sonoma,7,16,2,6
2020-04-04,Stanislaus,30,45,12,9
2020-04-04,Sutter,0,0,0,0
2020-04-04,Tehama,0,1,0,0
2020-04-04,Trinity,0,0,0,0
2020-04-04,Tulare,8,20,5,1
2020-04-04,Tuolumne,0,1,0,1
2020-04-04,Ventura,21,127,7,25
2020-04-04,Yolo,4,5,3,3
2020-04-04,Yuba,2,16,2,2
2020-04-05,Alameda,72,87,39,13
2020-04-05,Alpine,0,0,0,0
2020-04-05,Amador,0,0,0,0
2020-04-05,Butte,2,16,1,6
2020-04-05,Calaveras,0,0,0,0
2020-04-05,Colusa,1,0,1,0
2020-04-05,Contra Costa,29,35,15,10
2020-04-05,Del Norte,0,1,0,0
2020-04-05,El Dorado,16,6,0,3
2020-04-05,Fresno,16,81,8,15
2020-04-05,Glenn,0,0,0,0
2020-04-05,Humboldt,2,3,0,0
2020-04-05,Imperial,9,9,8,1
2020-04-05,Inyo,9,106,1,0
2020-04-05,Kern,23,27,12,4
2020-04-05,Kings,3,1,2,0
2020-04-05,Lake,0,4,0,2
2020-04-05,Lassen,0,0,0,0
2020-04-05,Los Angeles,1094,1082,473,116
2020-04-05,Madera,0,1,0,0
2020-04-05,Marin,5,15,3,5
2020-04-05,Mariposa,0,2,0,0
2020-04-05,Mendocino,0,3,0,2
2020-04-05,Merced,15,10,1,3
2020-04-05,Modoc,0,0,0,0
2020-04-05,Mono,20,2,0,0
2020-04-05,Monterey,16,15,4,0
2020-04-05,Napa,1,8,0,1
2020-04-05,Nevada,2,4,2,1
2020-04-05,Orange,144,221,70,46
2020-04-05,Placer,23,13,10,1
2020-04-05,Plumas,0,0,0,0
2020-04-05,Riverside,129,207,47,60
2020-04-05,Sacramento,64,78,23,26
2020-04-05,San Benito,3,0,2,0
2020-04-05,San Bernardino,146,240,59,54
2020-04-05,San Diego,179,220,89,31
2020-04-05,San Francisco,79,68,37,11
2020-04-05,San Joaquin,46,24,17,4
2020-04-05,San Luis Obispo,2,11,2,9
2020-04-05,San Mateo,69,15,24,6
2020-04-05,Santa Barbara,31,26,18,2
2020-04-05,Santa Clara,166,69,68,18
2020-04-05,Santa Cruz,5,12,4,4
2020-04-05,Shasta,8,11,4,0
2020-04-05,Sierra,0,0,0,0
2020-04-05,Siskiyou,0,2,0,2
2020-04-05,Solano,15,17,6,24
2020-04-05,Sonoma,6,21,2,6
2020-04-05,Stanislaus,30,25,14,5
2020-04-05,Sutter,0,0,0,0
2020-04-05,Tehama,0,1,0,0
2020-04-05,Trinity,0,0,0,0
2020-04-05,Tulare,4,20,8,2
2020-04-05,Tuolumne,0,0,0,0
2020-04-05,Ventura,21,128,7,28
2020-04-05,Yolo,3,6,3,3
2020-04-05,Yuba,1,14,1,1
2020-04-06,Alameda,79,70,43,19
2020-04-06,Alpine,0,0,0,0
2020-04-06,Amador,0,0,0,0
2020-04-06,Butte,1,15,1,5
2020-04-06,Calaveras,0,0,0,0
2020-04-06,Colusa,0,0,0,0
2020-04-06,Contra Costa,30,28,15,11
2020-04-06,Del Norte,0,3,0,0
2020-04-06,El Dorado,16,1,0,0
2020-04-06,Fresno,18,81,11,20
2020-04-06,Glenn,0,0,0,0
2020-04-06,Humboldt,3,12,0,3
2020-04-06,Imperial,9,14,7,2
2020-04-06,Inyo,9,114,1,0
2020-04-06,Kern,24,36,12,5
2020-04-06,Kings,3,3,2,0
2020-04-06,Lake,0,8,0,2
2020-04-06,Lassen,0,0,0,0
2020-04-06,Los Angeles,1166,1070,486,175
2020-04-06,Madera,0,2,0,1
2020-04-06,Marin,8,8,4,4
2020-04-06,Mariposa,0,3,0,0
2020-04-06,Mendocino,0,2,0,2
2020-04-06,Merced,4,2,0,2
2020-04-06,Modoc,0,0,0,0
2020-04-06,Mono,20,2,0,0
2020-04-06,Monterey,16,15,5,1
2020-04-06,Napa,0,7,0,0
2020-04-06,Nevada,1,5,1,2
2020-04-06,Orange,145,171,73,33
2020-04-06,Placer,20,12,10,1
2020-04-06,Plumas,0,0,0,0
2020-04-06,Riverside,129,193,46,65
2020-04-06,Sacramento,77,78,26,19
2020-04-06,San Benito,3,3,2,0
2020-04-06,San Bernardino,148,185,60,43
2020-04-06,San Diego,187,224,83,25
2020-04-06,San Francisco,80,71,34,9
2020-04-06,San Joaquin,31,32,14,3
2020-04-06,San Luis Obispo,2,3,2,2
2020-04-06,San Mateo,68,20,25,5
2020-04-06,Santa Barbara,34,26,19,5
2020-04-06,Santa Clara,181,49,79,10
2020-04-06,Santa Cruz,5,9,4,2
2020-04-06,Shasta,6,3,2,2
2020-04-06,Sierra,0,0,0,0
2020-04-06,Siskiyou,0,0,0,0
2020-04-06,Solano,15,21,6,6
2020-04-06,Sonoma,6,18,2,4
2020-04-06,Stanislaus,28,28,12,4
2020-04-06,Sutter,0,0,0,0
2020-04-06,Tehama,0,0,0,0
2020-04-06,Trinity,0,0,0,0
2020-04-06,Tulare,12,24,8,3
2020-04-06,Tuolumne,0,0,0,0
2020-04-06,Ventura,22,106,9,20
2020-04-06,Yolo,4,0,3,4
2020-04-06,Yuba,1,19,1,3
2020-04-07,Alameda,76,84,43,25
2020-04-07,Alpine,0,0,0,0
2020-04-07,Amador,0,0,0,0
2020-04-07,Butte,1,14,1,5
2020-04-07,Calaveras,0,1,0,0
2020-04-07,Colusa,0,0,0,0
2020-04-07,Contra Costa,31,38,17,9
2020-04-07,Del Norte,0,3,0,1
2020-04-07,El Dorado,16,2,0,3
2020-04-07,Fresno,20,82,11,13
2020-04-07,Glenn,0,0,0,0
2020-04-07,Humboldt,2,7,0,0
2020-04-07,Imperial,9,14,7,2
2020-04-07,Inyo,9,121,1,0
2020-04-07,Kern,28,91,14,13
2020-04-07,Kings,3,4,2,0
2020-04-07,Lake,0,0,0,0
2020-04-07,Lassen,0,1,0,0
2020-04-07,Los Angeles,1251,1350,517,162
2020-04-07,Madera,0,3,0,1
2020-04-07,Marin,6,5,4,4
2020-04-07,Mariposa,0,3,0,0
2020-04-07,Mendocino,0,2,0,0
2020-04-07,Merced,3,3,0,3
2020-04-07,Modoc,0,1,0,0
2020-04-07,Mono,20,2,0,0
2020-04-07,Monterey,18,25,5,4
2020-04-07,Napa,0,5,0,3
2020-04-07,Nevada,1,4,1,2
2020-04-07,Orange,143,144,71,29
2020-04-07,Placer,19,18,9,3
2020-04-07,Plumas,0,1,0,0
2020-04-07,Riverside,129,207,57,57
2020-04-07,Sacramento,74,91,28,18
2020-04-07,San Benito,3,3,2,0
2020-04-07,San Bernardino,146,178,54,49
2020-04-07,San Diego,203,124,87,29
2020-04-07,San Francisco,88,116,36,9
2020-04-07,San Joaquin,31,33,14,4
2020-04-07,San Luis Obispo,2,5,2,4
2020-04-07,San Mateo,63,13,26,2
2020-04-07,Santa Barbara,41,8,23,1
2020-04-07,Santa Clara,187,47,77,7
2020-04-07,Santa Cruz,4,4,4,3
2020-04-07,Shasta,5,8,2,3
2020-04-07,Sierra,0,0,0,0
2020-04-07,Siskiyou,0,1,0,1
2020-04-07,Solano,14,24,7,6
2020-04-07,Sonoma,6,28,2,6
2020-04-07,Stanislaus,28,40,13,9
2020-04-07,Sutter,0,0,0,0
2020-04-07,Tehama,0,1,0,0
2020-04-07,Trinity,0,0,0,0
2020-04-07,Tulare,8,23,5,6
2020-04-07,Tuolumne,0,0,0,0
2020-04-07,Ventura,22,68,9,20
2020-04-07,Yolo,2,3,2,1
2020-04-07,Yuba,2,25,1,5
2020-04-08,Alameda,84,69,45,18
2020-04-08,Alpine,0,0,0,0
2020-04-08,Amador,0,0,0,0
2020-04-08,Butte,1,15,1,7
2020-04-08,Calaveras,0,2,0,0
2020-04-08,Colusa,0,0,0,0
2020-04-08,Contra Costa,35,50,18,13
2020-04-08,Del Norte,0,2,0,1
2020-04-08,El Dorado,16,3,0,1
2020-04-08,Fresno,22,63,10,8
2020-04-08,Glenn,0,0,0,0
2020-04-08,Humboldt,2,3,0,0
2020-04-08,Imperial,16,7,8,3
2020-04-08,Inyo,9,128,1,1
2020-04-08,Kern,31,57,16,3
2020-04-08,Kings,2,8,1,1
2020-04-08,Lake,0,0,0,1
2020-04-08,Lassen,0,1,0,0
2020-04-08,Los Angeles,1331,1077,532,211
2020-04-08,Madera,0,6,0,1
2020-04-08,Marin,5,3,4,2
2020-04-08,Mariposa,0,0,0,0
2020-04-08,Mendocino,0,0,0,0
2020-04-08,Merced,1,1,0,2
2020-04-08,Modoc,0,0,0,0
2020-04-08,Mono,19,8,0,0
2020-04-08,Monterey,18,24,5,0
2020-04-08,Napa,0,7,0,1
2020-04-08,Nevada,2,7,2,2
2020-04-08,Orange,153,181,49,34
2020-04-08,Placer,18,15,10,2
2020-04-08,Plumas,0,1,0,0
2020-04-08,Riverside,149,145,56,41
2020-04-08,Sacramento,76,81,28,12
2020-04-08,San Benito,2,0,1,0
2020-04-08,San Bernardino,132,301,51,53
2020-04-08,San Diego,225,103,92,24
2020-04-08,San Francisco,90,116,36,17
2020-04-08,San Joaquin,32,19,11,8
2020-04-08,San Luis Obispo,2,13,2,11
2020-04-08,San Mateo,66,20,25,2
2020-04-08,Santa Barbara,42,18,19,1
2020-04-08,Santa Clara,156,34,70,6
2020-04-08,Santa Cruz,4,9,3,4
2020-04-08,Shasta,4,5,2,2
2020-04-08,Sierra,0,0,0,0
2020-04-08,Siskiyou,0,3,0,1
2020-04-08,Solano,15,19,8,2
2020-04-08,Sonoma,6,22,2,5
2020-04-08,Stanislaus,30,35,11,5
2020-04-08,Sutter,0,0,0,0
2020-04-08,Tehama,0,2,0,0
2020-04-08,Trinity,0,0,0,0
2020-04-08,Tulare,7,16,2,5
2020-04-08,Tuolumne,0,0,0,0
2020-04-08,Ventura,18,73,9,14
2020-04-08,Yolo,2,7,1,2
2020-04-08,Yuba,2,24,1,3
2020-04-09,Alameda,80,76,44,18
2020-04-09,Alpine,0,0,0,0
2020-04-09,Amador,0,0,0,0
2020-04-09,Butte,1,14,1,4
2020-04-09,Calaveras,0,0,0,0
2020-04-09,Colusa,0,0,0,1
2020-04-09,Contra Costa,37,64,18,12
2020-04-09,Del Norte,0,2,0,0
2020-04-09,El Dorado,17,3,0,1
2020-04-09,Fresno,25,41,10,9
2020-04-09,Glenn,0,0,0,0
2020-04-09,Humboldt,2,6,0,2
2020-04-09,Imperial,14,10,7,3
2020-04-09,Inyo,9,135,1,0
2020-04-09,Kern,27,35,16,9
2020-04-09,Kings,6,6,3,0
2020-04-09,Lake,0,0,0,1
2020-04-09,Lassen,0,2,0,0
2020-04-09,Los Angeles,1368,758,541,156
2020-04-09,Madera,0,3,0,2
2020-04-09,Marin,5,7,2,1
2020-04-09,Mariposa,0,0,0,0
2020-04-09,Mendocino,0,0,0,0
2020-04-09,Merced,1,7,0,2
2020-04-09,Modoc,0,0,0,0
2020-04-09,Mono,18,15,0,0
2020-04-09,Monterey,17,26,5,0
2020-04-09,Napa,0,7,0,0
2020-04-09,Nevada,2,4,2,1
2020-04-09,Orange,146,117,45,29
2020-04-09,Placer,18,12,9,1
2020-04-09,Plumas,0,1,0,0
2020-04-09,Riverside,201,159,59,34
2020-04-09,Sacramento,74,60,31,11
2020-04-09,San Benito,2,1,1,0
2020-04-09,San Bernardino,136,269,56,41
2020-04-09,San Diego,227,124,98,18
2020-04-09,San Francisco,88,64,33,13
2020-04-09,San Joaquin,29,18,12,7
2020-04-09,San Luis Obispo,2,10,2,8
2020-04-09,San Mateo,58,14,18,2
2020-04-09,Santa Barbara,40,18,20,2
2020-04-09,Santa Clara,158,65,70,17
2020-04-09,Santa Cruz,4,14,2,5
2020-04-09,Shasta,5,7,2,1
2020-04-09,Sierra,0,0,0,0
2020-04-09,Siskiyou,0,2,0,7
2020-04-09,Solano,14,9,8,0
2020-04-09,Sonoma,5,21,2,4
2020-04-09,Stanislaus,28,30,11,0
2020-04-09,Sutter,0,0,0,0
2020-04-09,Tehama,0,1,0,1
2020-04-09,Trinity,0,0,0,0
2020-04-09,Tulare,10,11,5,4
2020-04-09,Tuolumne,0,0,0,0
2020-04-09,Ventura,18,69,8,13
2020-04-09,Yolo,2,4,1,2
2020-04-09,Yuba,3,18,2,4
2020-04-10,Alameda,93,71,45,26
2020-04-10,Alpine,0,0,0,0
2020-04-10,Amador,0,0,0,0
2020-04-10,Butte,1,15,1,5
2020-04-10,Calaveras,0,0,0,0
2020-04-10,Colusa,0,0,0,0
2020-04-10,Contra Costa,42,30,17,6
2020-04-10,Del Norte,0,3,0,0
2020-04-10,El Dorado,17,1,0,1
2020-04-10,Fresno,27,41,11,9
2020-04-10,Glenn,0,0,0,0
2020-04-10,Humboldt,2,10,0,3
2020-04-10,Imperial,14,12,8,3
2020-04-10,Inyo,9,135,1,0
2020-04-10,Kern,33,38,15,5
2020-04-10,Kings,8,0,3,0
2020-04-10,Lake,0,1,0,0
2020-04-10,Lassen,0,2,0,0
2020-04-10,Los Angeles,1299,754,514,142
2020-04-10,Madera,0,5,0,1
2020-04-10,Marin,6,26,1,1
2020-04-10,Mariposa,0,0,0,0
2020-04-10,Mendocino,0,1,0,1
2020-04-10,Merced,0,2,0,1
2020-04-10,Modoc,0,0,0,0
2020-04-10,Mono,0,3,0,0
2020-04-10,Monterey,18,21,5,1
2020-04-10,Napa,0,7,0,4
2020-04-10,Nevada,3,3,2,1
2020-04-10,Orange,139,129,69,25
2020-04-10,Placer,16,11,9,3
2020-04-10,Plumas,0,0,0,0
2020-04-10,Riverside,206,141,57,34
2020-04-10,Sacramento,70,45,30,13
2020-04-10,San Benito,2,1,1,0
2020-04-10,San Bernardino,156,295,66,58
2020-04-10,San Diego,230,124,96,14
2020-04-10,San Francisco,85,46,32,12
2020-04-10,San Joaquin,26,17,14,5
2020-04-10,San Luis Obispo,2,3,2,3
2020-04-10,San Mateo,56,12,18,3
2020-04-10,Santa Barbara,42,13,19,1
2020-04-10,Santa Clara,151,44,67,5
2020-04-10,Santa Cruz,4,11,3,5
2020-04-10,Shasta,5,7,2,1
2020-04-10,Sierra,0,0,0,0
2020-04-10,Siskiyou,0,0,0,0
2020-04-10,Solano,18,9,9,3
2020-04-10,Sonoma,4,18,1,6
2020-04-10,Stanislaus,27,17,11,3
2020-04-10,Sutter,0,0,0,0
